theta_deg,fy,fz,f_mag
5,-312.8816,3.535717,312.9015770386338
10,-728.5281,-37.72116,729.503994780944
15,-909.4894,-87.17026,913.6572787105829
20,-982.055,-133.4332,991.0784236816176
25,-1014.587,-177.3163,1029.964975528144
30,-1029.705,-219.7911,1052.900999460163
35,-1035.868,-261.3974,1068.3403550136818
40,-1036.737,-302.4326,1079.948649108725
45,-1034.087,-343.0687,1089.5100075211287
50,-1028.861,-383.4093,1097.9788926238473
55,-1021.59,-423.5196,1105.9000767176753
60,-1012.593,-463.4413,1113.607840397458
65,-1002.066,-503.2012,1121.3151724815998
70,-990.1342,-542.8168,1129.1659808778688
75,-976.8796,-582.2987,1137.2622955667923
80,-962.3545,-621.6532,1145.6783513449532
85,-946.5925,-660.8831,1154.4712352076426
90,-929.614,-699.9891,1163.6867830798844
95,-911.4301,-738.9697,1173.3631342018975
100,-892.0448,-777.8223,1183.5334619622422
105,-871.4567,-816.5429,1194.2274019278323
110,-849.6604,-855.1266,1205.4726447977657
115,-826.6468,-893.5676,1217.295357635114
120,-802.4042,-931.8592,1229.7211345676221
125,-776.918,-969.9941,1242.7751738584136
130,-750.1716,-1007.964,1256.4827315735622
135,-722.1462,-1045.76,1270.8694314422862
140,-692.8211,-1083.372,1285.9611063283407
145,-662.174,-1120.79,1301.785170593059
150,-630.1808,-1158.003,1318.3697465800858
155,-596.8157,-1194.997,1335.7420446236954
160,-562.0514,-1231.759,1353.932055283041
165,-525.8594,-1268.275,1372.9710791540222
170,-488.2096,-1304.53,1392.8916448999757
175,-449.0708,-1340.506,1413.7258996879982
180,-408.4104,-1376.185,1435.508345170156
